Serial No,Crime_Type,Year_of_Crime,Gender,Area_Name,Detailed_Area,Latitude,Longitude,Location,Time,link
11,Murder,2024,,Purbachal,Bridge No 4 in Sector 2 of Purbachal,23.832019,90.506819,"(23.832019, 90.506819)",Night,https://www.dhakatribune.com/bangladesh/dhaka/375353/purbachal%E2%80%99s-300-feet-road-turns-into-a-crime
12,Mugging,2025,"Male, Female",Uttara,Road 9 of Uttara's Sector-7,23.87056328,90.39880335,"(23.870563284157374, 90.39880335397214)",Night,https://www.tbsnews.net/bangladesh/crime/attack-uttara-couple-police-arrest-5-seize-weapons-1072541
13,Mugging,2025,,Mohammadpur,Adabor,23.77254981,90.35336822,"(23.772549805081425, 90.35336821941294)",Night,https://www.dhakatribune.com/bangladesh/crime/371786/ten-%E2%80%98muggers%E2%80%99-held-in-dhaka%E2%80%99s-mohammadpur
14,Mugging,2025,,Bashundhara R/A,Kuril Biswa Road in Dhaka,23.81788905,90.42109973,"(23.817889046684265, 90.42109972560354)",Night,https://www.dhakatribune.com/bangladesh/crime/379001/db-detains-youth-who-threatened-to-shoot-in
15,Murder,2024,,Narayanganj,"DIT Road, near Ali Ahmad Chunka Library",23.6144509,90.50160751,"(23.614450898559348, 90.5016075085658)",Morning,https://www.dhakatribune.com/bangladesh/crime/368527/1-arrested-over-aiub-student-shimanta-murder
16,Mugging,2024,Male,Dhanmondi,Dhanmondi Road 8A,23.74404146,90.3725385,"(23.74404146, 90.37253849563446)",Evening,https://www.thedailystar.net/opinion/editorial/news/improve-security-dhanmondi-3738906
17,Mugging,2024,Male,Dhanmondi,Dhanmondi Road 8/1,23.74357178,90.38214526,"(23.743571775890242, 90.38214525784849)",Evening,https://www.thedailystar.net/opinion/editorial/news/improve-security-dhanmondi-3738906
18,Mugging,2024,Male,Mohammadpur,Shekhertek Road No. 6 in Mohammadpur,23.7678786,90.35746438,"(23.767878599368956, 90.35746438279021)",Evening,https://www.dhakatribune.com/bangladesh/crime/368786/mugging-murder-rates-climb-nationwide-despite
19,Theft,2024,,Mohammadpur,Asad Gate,23.76022301,90.37285259,"(23.760223013536923, 90.3728525947409)",Night,https://www.dhakatribune.com/bangladesh/crime/368786/mugging-murder-rates-climb-nationwide-despite
20,"Mugging, Assault",2024,Male,Dhanmondi,83 Rd Number 11A,23.74786073,90.37319416,"(23.74786073231559, 90.3731941622317)",Morning,https://www.tbsnews.net/bangladesh/dhanmondi-turns-haven-muggers-1008901
21,Mugging,2024,Male,Mirpur,Mazar Road in Darussalam,23.79150285,90.34845252,"(23.7915028530115, 90.34845252205912)",Night,https://www.dhakatribune.com/bangladesh/crime/368786/mugging-murder-rates-climb-nationwide-despite
22,Mugging,2024,Male,Old Dhaka,near Baldha Garden in Old Dhaka,23.71659262,90.41941347,"(23.71659262396306, 90.41941347298331)",Noon,https://www.dhakatribune.com/bangladesh/crime/368786/mugging-murder-rates-climb-nationwide-despite
23,Mugging,2024,Male,Savar,"near the Mir Mosharraf Hossain Hall gate, Savar",23.87591257,90.27322157,"(23.875912569225537, 90.27322156944726)",Night,https://www.dhakatribune.com/bangladesh/crime/361715/jahangirnagar-university-student-mugged-while
24,"Robbery, Assault",2025,Male,Rampura,"Road 7, Block D, Banasree",23.7611535,90.43051091,"(23.76115349773231, 90.43051090986016)",Night,https://www.thedailystar.net/news/bangladesh/crime-justice/news/gold-trader-shot-and-robbed-rampura-3832046
